Date,Open,High,Low,Close,Adj Close,Volume
2019-12-05,50200.000000,50400.000000,49500.000000,49500.000000,44583.792969,10449715
2019-12-06,50100.000000,50900.000000,49950.000000,50400.000000,45394.394531,11414563
2019-12-09,50900.000000,51400.000000,50700.000000,51200.000000,46114.945313,8470627
2019-12-10,51000.000000,51600.000000,50700.000000,51500.000000,46385.152344,6882771
2019-12-11,51500.000000,52200.000000,51400.000000,51900.000000,46745.421875,11379521
2019-12-12,53000.000000,53300.000000,52700.000000,53300.000000,48006.382813,29178697
2019-12-13,54500.000000,54800.000000,53900.000000,54700.000000,49267.332031,18120261
2019-12-16,54500.000000,54900.000000,54300.000000,54700.000000,49267.332031,11512405
2019-12-17,55800.000000,56700.000000,55400.000000,56700.000000,51068.695313,19358433
2019-12-18,56700.000000,57200.000000,56000.000000,56300.000000,50708.425781,15558208
2019-12-19,57000.000000,57300.000000,55500.000000,56000.000000,50438.222656,14180520
2019-12-20,56100.000000,56500.000000,55600.000000,56000.000000,50438.222656,12095519
2019-12-23,56100.000000,56400.000000,55100.000000,55500.000000,49987.882813,9839252
2019-12-24,55600.000000,55700.000000,54800.000000,55000.000000,49537.542969,11868463
2019-12-26,54700.000000,55400.000000,54400.000000,55400.000000,49897.808594,9645034
2019-12-27,55700.000000,56900.000000,55500.000000,56500.000000,51215.832031,12313056
2019-12-30,56200.000000,56600.000000,55700.000000,55800.000000,50581.304688,8356767
2020-01-02,55500.000000,56000.000000,55000.000000,55200.000000,50037.410156,12993228
2020-01-03,56000.000000,56600.000000,54900.000000,55500.000000,50309.359375,15422255
2020-01-06,54900.000000,55600.000000,54600.000000,55500.000000,50309.359375,10278951
2020-01-07,55700.000000,56400.000000,55600.000000,55800.000000,50581.304688,10009778
2020-01-08,56200.000000,57400.000000,55900.000000,56800.000000,51487.769531,23501171
2020-01-09,58400.000000,58600.000000,57400.000000,58600.000000,53119.425781,24102579
2020-01-10,58800.000000,59700.000000,58300.000000,59500.000000,53935.250000,16000170
2020-01-13,59600.000000,60000.000000,59100.000000,60000.000000,54388.492188,11359139
2020-01-14,60400.000000,61000.000000,59900.000000,60000.000000,54388.492188,16906295
2020-01-15,59500.000000,59600.000000,58900.000000,59000.000000,53482.015625,14300928
2020-01-16,59100.000000,60700.000000,59000.000000,60700.000000,55023.023438,14381774
2020-01-17,61900.000000,62000.000000,61000.000000,61300.000000,55566.906250,16025661
2020-01-20,62000.000000,62800.000000,61700.000000,62400.000000,56564.023438,12528855
2020-01-21,62000.000000,62400.000000,61200.000000,61400.000000,55657.550781,11142693
2020-01-22,60500.000000,62600.000000,60400.000000,62300.000000,56473.390625,15339565
2020-01-23,61800.000000,61800.000000,60700.000000,60800.000000,55113.671875,14916555
2020-01-28,59400.000000,59400.000000,58300.000000,58800.000000,53300.722656,23664541
2020-01-29,59100.000000,59700.000000,58800.000000,59100.000000,53572.660156,16446102
2020-01-30,58800.000000,58800.000000,56800.000000,57200.000000,51850.363281,20821939
2020-01-31,57800.000000,58400.000000,56400.000000,56400.000000,51125.179688,19749457
2020-02-03,55500.000000,57400.000000,55200.000000,57200.000000,51850.363281,23995260
